mode,env_seed,curriculum_seed,split,worker_index,goal_stage,worker_seed,solution_state
curriculum_on_fixed_cseed,0,0,train,0,3,8,"(1, 0, 0, 2)"
curriculum_on_fixed_cseed,0,0,train,2,3,3,"(0, 0, 0, 3)"
curriculum_on_fixed_cseed,0,0,train,4,2,3,"(0, 0, 0, 2)"
curriculum_on_fixed_cseed,0,0,val,0,3,4,"(1, 2, 0, 0)"
curriculum_on_fixed_cseed,1,0,train,0,3,8,"(1, 0, 0, 2)"
curriculum_on_fixed_cseed,1,0,train,2,3,3,"(0, 0, 0, 3)"
curriculum_on_fixed_cseed,1,0,train,4,2,3,"(0, 0, 0, 2)"
curriculum_on_fixed_cseed,1,0,val,0,3,4,"(1, 2, 0, 0)"
curriculum_on_fixed_cseed,2,0,train,0,3,8,"(1, 0, 0, 2)"
curriculum_on_fixed_cseed,2,0,train,2,3,3,"(0, 0, 0, 3)"
curriculum_on_fixed_cseed,2,0,train,4,2,3,"(0, 0, 0, 2)"
curriculum_on_fixed_cseed,2,0,val,0,3,4,"(1, 2, 0, 0)"
curriculum_on_matched_cseed,0,0,train,0,3,8,"(1, 0, 0, 2)"
curriculum_on_matched_cseed,0,0,train,2,3,3,"(0, 0, 0, 3)"
curriculum_on_matched_cseed,1,1,train,0,3,17,"(1, 1, 0, 1)"
curriculum_on_matched_cseed,1,1,train,2,2,5,"(1, 0, 1, 0)"
curriculum_on_matched_cseed,2,2,train,0,2,8,"(0, 1, 0, 1)"
curriculum_on_matched_cseed,2,2,train,2,3,9,"(2, 0, 0, 1)"
direct_no_curriculum,0,NA,train,0,3,0,"(3, 0, 0, 0)"
direct_no_curriculum,0,NA,val,0,3,0,"(3, 0, 0, 0)"
direct_no_curriculum,1,NA,train,0,3,1,"(0, 3, 0, 0)"
direct_no_curriculum,1,NA,val,0,3,1,"(0, 3, 0, 0)"
direct_no_curriculum,2,NA,train,0,3,2,"(0, 0, 3, 0)"
direct_no_curriculum,2,NA,val,0,3,2,"(0, 0, 3, 0)"
